Wed Jul 10 16:29:29 IST 2019	Query fired:-----SELECT parameter_code,parameter_name FROM cob_com.com_parameters where parameter_code in ('URL','PATH')
Wed Jul 10 16:29:30 IST 2019	Query fired:-----SELECT lang_text_code,lang_text_value FROM cob_sys.sys_langs where lang_menu_code = 'TLB'
Wed Jul 10 16:29:54 IST 2019	Query fired:-----SELECT parameter_code,parameter_name FROM cob_com.com_parameters where parameter_code in ('URL','PATH')
Wed Jul 10 16:29:54 IST 2019	Query fired:-----SELECT lang_text_code,lang_text_value FROM cob_sys.sys_langs where lang_menu_code = 'TLB'
Wed Jul 10 16:29:56 IST 2019	Query fired:-----SELECT user_first_name FROM adm_users where user_id='apolson'
Wed Jul 10 16:29:56 IST 2019	Query fired:-----SELECT user_first_name FROM adm_users where user_id='apolson'
Wed Jul 10 16:29:58 IST 2019	Query fired:-----SELECT user_id,user_password,is_auto_generated,user_is_active,user_image_format FROM cob_adm.adm_users where user_id = 'apolson'
Wed Jul 10 16:29:58 IST 2019	Query fired:-----SELECT aut.user_team_user_id,au.user_first_name,aut.user_team_team_short_code,team.team_type FROM cob_adm.adm_user_teams aut, adm_users au, adm_teams team where aut.user_team_user_id = au.user_id and team.team_short_code = aut.user_team_team_short_code and aut.user_team_user_id = 'apolson' and au.user_is_active = 1 and team.team_is_active = 1
Wed Jul 10 16:29:58 IST 2019	Query fired:-----SELECT user_role_key FROM cob_adm.adm_users where user_id = 'apolson' and user_is_active = 1
Wed Jul 10 16:29:58 IST 2019	Query fired:-----SELECT menu_role_menu_code,menu_role_access_type FROM cob_sys.sys_menu_roles where menu_role_role_key = 4
Wed Jul 10 16:29:58 IST 2019	Query fired:-----SELECT a.menu_role_menu_code,a.menu_role_access_type,b.user_id FROM sys_menu_roles a,adm_users b where a.menu_role_role_key=b.user_role_key and b.user_id='apolson' and b.user_is_active = 1
Wed Jul 10 16:29:58 IST 2019	Query fired:-----SELECT user_id,user_first_name,user_image,user_image_format FROM adm_users where user_id in ('apolson')
Wed Jul 10 16:29:58 IST 2019	java.nio.file.InvalidPathException: Illegal char <:> at index 4: http:\localhost:9090\COB\img\images\user-default-avatar.png	com.fintek.cob.sever.core.logic.Login.LoginSettings(Login.java:382)
Wed Jul 10 16:29:58 IST 2019	Query fired:-----SELECT lang_text_code,lang_text_value FROM cob_sys.sys_langs where lang_menu_code = 'FOLLOW_UPS'
Wed Jul 10 16:29:58 IST 2019	Query fired:-----SELECT lang_text_code,lang_text_value FROM cob_sys.sys_langs where lang_menu_code = 'DASH'
Wed Jul 10 16:29:58 IST 2019	Query fired:-----SELECT tiles_code,tiles_present FROM cob_sys.sys_tiles_config where  module_name='WRKSPCE' and user_id='apolson'
Wed Jul 10 16:29:58 IST 2019	Query fired:-----SELECT lang_text_code,lang_text_value FROM cob_sys.sys_langs where lang_menu_code = 'MOD'
Wed Jul 10 16:29:58 IST 2019	Query fired:-----SELECT distinct workflow_task_key FROM wfl_workflow_category_tasks where workflow_task_key in (SELECT distinct tsk.workflow_task_key FROM wfl_workflows wfl, wfl_workflow_categories cat, wfl_workflow_category_tasks tsk, wfl_workflow_category_task_owners own WHERE wfl.workflow_type = 'COB' and wfl.workflow_key = cat.category_workflow_key and tsk.workflow_task_key = own.workflow_task_key and cat.category_key = tsk.category_key and ((own.user_id = 'apolson') or (own.picked_up_user_id = 'apolson')) and tsk.task_status_caption = 'pending' and tsk.submit_date is NOT NULL and cat.is_ready = 1 and cat.category_is_completed = 0 and wfl.workflow_is_active = 1 and tsk.is_active = 1 and own.is_active = 1 and DATEDIFF(MINUTE,CURRENT_TIME(),tsk.submit_date) < 0 ) or workflow_task_key in (SELECT distinct tsk.workflow_task_key FROM wfl_workflows wfl, wfl_workflow_categories cat, wfl_workflow_category_tasks tsk, wfl_workflow_category_task_owners own WHERE wfl.workflow_type = 'COB' and wfl.workflow_key = cat.category_workflow_key and tsk.workflow_task_key = own.workflow_task_key and cat.category_key = tsk.category_key and (own.team_code in ('SGSALES','HKSALES','SG PROD TEAM','MY TEAM','g','g','RST','RPTeam','CTM')) and tsk.task_status_caption = 'pending' and own.picked_up = 'no' and tsk.submit_date is NOT NULL and cat.is_ready = 1 and cat.category_is_completed = 0 and wfl.workflow_is_active = 1 and tsk.is_active = 1 and own.is_active = 1 and DATEDIFF(MINUTE,CURRENT_TIME(),tsk.submit_date) < 0 )
